field,value
item_name,item_6
image_name,item_6.jpg
image_path,/home/polymaya/refit8_YOLO_camera/audit_platform_ws/app/data/items/item_6/item_6.jpg
item_dir,/home/polymaya/refit8_YOLO_camera/audit_platform_ws/app/data/items/item_6
additional_images_dir,/home/polymaya/refit8_YOLO_camera/audit_platform_ws/app/data/items/item_6/item_6_additional_images
audit_id,20260319165042
location_id,
location_name,
asset_category_id,
asset_category_name,
time_taken,2026-03-19T16:50:48
