field,value
item_name,item_7
image_name,item_7.jpg
image_path,/home/polymaya/refit8_YOLO_camera/audit_platform_ws/app/data/items/item_7/item_7.jpg
item_dir,/home/polymaya/refit8_YOLO_camera/audit_platform_ws/app/data/items/item_7
additional_images_dir,/home/polymaya/refit8_YOLO_camera/audit_platform_ws/app/data/items/item_7/item_7_additional_images
audit_id,20260319165209
location_id,
location_name,
asset_category_id,
asset_category_name,
time_taken,2026-03-19T16:52:17
