field,value
item_name,item_13
image_name,item_13.jpg
image_path,/home/polymaya/refit8_YOLO_camera/audit_platform_ws/app/data/items/item_13/item_13.jpg
item_dir,/home/polymaya/refit8_YOLO_camera/audit_platform_ws/app/data/items/item_13
additional_images_dir,/home/polymaya/refit8_YOLO_camera/audit_platform_ws/app/data/items/item_13/item_13_additional_images
audit_id,20260319170505
location_id,
location_name,
asset_category_id,
asset_category_name,
time_taken,2026-03-19T17:05:10
